"site","x_site","y_site","hab_site","temp_site"
"1",17,5125.9,4190.1,"Urban","Mild"
"2",20,4876.6,4153.3,"Urban","Mild"
"3",25,4998.1,4181.9,"Coniferous","Mild"
"4",27,5046.4,4196.3,"Coniferous","Warm"
"5",29,5095.9,4205,"Urban","Warm"
"6",30,5120,4212.3,"Coniferous","Warm"
"7",34,5177.6,4237.3,"Urban","Mild"
"8",36,4870.1,4160.2,"Broadleaved","Mild"
"9",37,4873.5,4161.3,"Urban","Mild"
"10",44,4992.1,4207.4,"Urban","Warm"
"11",47,5064.8,4224.4,"Coniferous","Warm"
"12",53,5210.4,4262.6,"Broadleaved","Mild"
"13",59,4962.7,4219.4,"Coniferous","Mild"
"14",60,4986,4232.5,"Coniferous","Warm"
"15",63,5058.9,4249.8,"Urban","Warm"
"16",69,5202.5,4284.7,"Urban","Warm"
"17",70,5228.3,4292.8,"Urban","Warm"
"18",77,5003.9,4262.4,"Urban","Warm"
"19",86,5222,4317,"Coniferous","Warm"
"20",95,5021.3,4290.8,"Coniferous","Warm"
"21",96,5045.3,4297.8,"Broadleaved","Warm"
"22",97,5070,4304.6,"Open","Warm"
"23",101,5166.7,4327.3,"Coniferous","Mild"
"24",104,5240.1,4345.2,"Coniferous","Mild"
"25",105,5263.8,4350.7,"Coniferous","Mild"
"26",106,5288.3,4356.1,"Coniferous","Mild"
"27",112,5016.4,4317.4,"Coniferous","Mild"
"28",113,5038.2,4319.7,"Broadleaved","Mild"
"29",115,5087.9,4336.3,"Broadleaved","Mild"
"30",119,5185.9,4356.6,"Broadleaved","Mild"
"31",120,5209.2,4362.2,"Broadleaved","Mild"
"32",121,5233,4369.4,"Coniferous","Mild"
"33",149,5026.4,4369.8,"Coniferous","Mild"
"34",150,5047.9,4371.1,"Urban","Mild"
"35",154,5147.2,4401.6,"Broadleaved","Mild"
"36",167,4997,4387.7,"Coniferous","Mild"
"37",169,5044,4401.1,"Coniferous","Mild"
"38",186,4989.5,4411.6,"Coniferous","Mild"
"39",189,5062.9,4430,"Coniferous","Mild"
"40",203,4910.9,4419.1,"Urban","Mild"
"41",225,4928.7,4449.3,"Urban","Mild"
"42",226,4952.9,4455.8,"Coniferous","Mild"
"43",257,5188.9,4538.8,"Broadleaved","Mild"
"44",259,5239.5,4551.4,"Broadleaved","Mild"
"45",260,5261.9,4557.9,"Broadleaved","Mild"
"46",261,5285.7,4561.9,"Coniferous","Mild"
"47",262,5310.4,4570.2,"Coniferous","Mild"
"48",283,5255.2,4583.1,"Broadleaved","Mild"
"49",286,5327.4,4598.8,"Broadleaved","Mild"
"50",299,5103.6,4570.1,"Coniferous","Mild"
"51",302,5175.3,4588.3,"Urban","Mild"
"52",319,5144.9,4605.2,"Coniferous","Mild"
"53",322,5217.4,4624.3,"Coniferous","Mild"
"54",328,4993.3,4594.9,"Coniferous","Mild"
"55",329,5017.6,4601,"Coniferous","Mild"
"56",334,5138.9,4631.5,"Broadleaved","Mild"
"57",371,5022.3,4679.5,"Open","Cold"
"58",384,5063.6,4714.4,"Urban","Mild"
"59",395,5058.8,4740.1,"Coniferous","Cold"
"60",396,5082.1,4746,"Coniferous","Cold"
"61",419,5166.2,4818.5,"Coniferous","Cold"
"62",420,5190.5,4824.6,"Coniferous","Cold"
"63",429,5135.4,4836.6,"Coniferous","Cold"
"64",430,5159.7,4842.6,"Coniferous","Cold"
"65",438,5056.4,4840.5,"Wetlands","Cold"
"66",442,5153.5,4864.8,"Coniferous","Cold"
"67",444,5204.2,4877.2,"Coniferous","Cold"
"68",462,5040.8,4890,"Broadleaved","Cold"
"69",463,5067,4896.6,"Coniferous","Cold"
"70",472,5011.8,4908.3,"Open","Cold"
"71",478,5158.2,4943.1,"Coniferous","Cold"
"72",483,5029.5,4938.5,"Coniferous","Cold"
"73",491,4974.2,4950.2,"Coniferous","Cold"
"74",493,5022.9,4962.5,"Coniferous","Cold"
"75",554,4935,5094.2,"Coniferous","Cold"
"76",609,4984.1,5286,"Open","Cold"
